timestamp,symbol,open,high,low,close,volume
2025-06-27T14:06:00.000000+0000,ETHUSDT,2433.93,2435.6,2429.77,2435.6,1104.5957
2025-06-27T14:07:00.000000+0000,ETHUSDT,2435.59,2436.01,2431.78,2431.78,127.0697
2025-06-27T14:08:00.000000+0000,ETHUSDT,2431.78,2434.99,2431.78,2434.42,274.7454
2025-06-27T14:09:00.000000+0000,ETHUSDT,2434.43,2435.85,2430.9,2431.11,374.3113
2025-06-27T14:10:00.000000+0000,ETHUSDT,2431.11,2433.71,2431.11,2432.35,172.609
2025-06-27T14:11:00.000000+0000,ETHUSDT,2432.36,2432.36,2429.57,2430.19,112.921
2025-06-27T14:12:00.000000+0000,ETHUSDT,2430.2,2430.5,2426.88,2428.94,367.9628
2025-06-27T14:13:00.000000+0000,ETHUSDT,2428.94,2428.94,2426.88,2427.56,114.2819
2025-06-27T14:14:00.000000+0000,ETHUSDT,2427.57,2427.9,2423.66,2423.66,366.2041
2025-06-27T14:15:00.000000+0000,ETHUSDT,2423.67,2425.2,2422.66,2422.98,308.6572
2025-06-27T14:16:00.000000+0000,ETHUSDT,2422.98,2424.36,2421.79,2422.7,233.4651
2025-06-27T14:17:00.000000+0000,ETHUSDT,2422.7,2422.7,2421.0,2421.58,936.764
2025-06-27T14:18:00.000000+0000,ETHUSDT,2421.57,2421.58,2420.2,2420.48,439.1558
2025-06-27T14:19:00.000000+0000,ETHUSDT,2420.48,2423.91,2420.48,2423.08,351.3602
2025-06-27T14:20:00.000000+0000,ETHUSDT,2423.07,2424.95,2421.86,2424.19,462.4903
2025-06-27T14:21:00.000000+0000,ETHUSDT,2424.21,2425.93,2424.21,2424.76,109.6082
2025-06-27T14:22:00.000000+0000,ETHUSDT,2424.77,2428.13,2424.77,2426.58,901.948
2025-06-27T14:23:00.000000+0000,ETHUSDT,2426.59,2426.85,2423.7,2424.73,180.2102
2025-06-27T14:24:00.000000+0000,ETHUSDT,2424.73,2424.73,2418.69,2418.7,586.2758
2025-06-27T14:25:00.000000+0000,ETHUSDT,2418.69,2420.97,2417.07,2420.97,267.7577
2025-06-27T14:26:00.000000+0000,ETHUSDT,2420.99,2422.74,2420.99,2421.99,227.8841
2025-06-27T14:27:00.000000+0000,ETHUSDT,2422.0,2422.7,2421.41,2421.41,329.9997
2025-06-27T14:28:00.000000+0000,ETHUSDT,2421.41,2421.41,2417.7,2418.8,472.1251
2025-06-27T14:29:00.000000+0000,ETHUSDT,2418.8,2422.2,2418.79,2420.63,205.2409
2025-06-27T14:30:00.000000+0000,ETHUSDT,2420.62,2421.69,2419.35,2421.27,393.728
2025-06-27T14:31:00.000000+0000,ETHUSDT,2421.28,2423.07,2419.36,2420.4,228.32
2025-06-27T14:32:00.000000+0000,ETHUSDT,2420.4,2420.99,2419.23,2419.38,472.6508
2025-06-27T14:33:00.000000+0000,ETHUSDT,2419.38,2419.83,2417.56,2418.2,139.9563
2025-06-27T14:34:00.000000+0000,ETHUSDT,2418.21,2418.62,2415.12,2415.83,1676.1443
2025-06-27T14:35:00.000000+0000,ETHUSDT,2415.85,2418.85,2414.15,2417.54,414.9181
2025-06-27T14:36:00.000000+0000,ETHUSDT,2417.55,2419.34,2417.31,2418.88,132.366
2025-06-27T14:37:00.000000+0000,ETHUSDT,2418.88,2424.18,2418.01,2423.23,715.075
2025-06-27T14:38:00.000000+0000,ETHUSDT,2423.24,2426.34,2423.24,2423.61,333.2566
2025-06-27T14:39:00.000000+0000,ETHUSDT,2423.61,2423.9,2420.06,2420.46,249.3455
2025-06-27T14:40:00.000000+0000,ETHUSDT,2420.45,2422.38,2419.31,2420.58,345.1714
2025-06-27T14:41:00.000000+0000,ETHUSDT,2420.58,2421.02,2420.09,2420.68,96.2357
2025-06-27T14:42:00.000000+0000,ETHUSDT,2420.68,2423.69,2420.68,2423.69,151.3275
2025-06-27T14:43:00.000000+0000,ETHUSDT,2423.7,2424.38,2422.95,2424.1,90.8388
2025-06-27T14:44:00.000000+0000,ETHUSDT,2424.1,2424.64,2422.02,2423.45,226.4557
2025-06-27T14:45:00.000000+0000,ETHUSDT,2423.46,2425.98,2423.46,2425.62,276.4002
2025-06-27T14:46:00.000000+0000,ETHUSDT,2425.63,2426.47,2424.11,2424.59,306.451
2025-06-27T14:47:00.000000+0000,ETHUSDT,2424.6,2426.45,2424.23,2424.81,150.2569
2025-06-27T14:48:00.000000+0000,ETHUSDT,2424.82,2426.79,2424.82,2426.74,357.8142
2025-06-27T14:49:00.000000+0000,ETHUSDT,2426.74,2427.67,2425.88,2427.06,346.5523
2025-06-27T14:50:00.000000+0000,ETHUSDT,2427.06,2427.92,2425.94,2426.97,259.4324
2025-06-27T14:51:00.000000+0000,ETHUSDT,2426.96,2426.97,2421.99,2422.12,296.6389
2025-06-27T14:52:00.000000+0000,ETHUSDT,2422.11,2423.1,2420.8,2423.06,247.1315
2025-06-27T14:53:00.000000+0000,ETHUSDT,2423.05,2426.13,2422.65,2426.13,220.4434
2025-06-27T14:54:00.000000+0000,ETHUSDT,2426.13,2426.6,2424.06,2425.1,236.1612
2025-06-27T14:55:00.000000+0000,ETHUSDT,2425.09,2425.16,2421.4,2421.4,133.2187
2025-06-27T14:56:00.000000+0000,ETHUSDT,2421.41,2422.01,2420.98,2422.0,221.7371
2025-06-27T14:57:00.000000+0000,ETHUSDT,2422.0,2423.68,2422.0,2423.32,334.7117
2025-06-27T14:58:00.000000+0000,ETHUSDT,2423.32,2423.32,2421.84,2422.59,108.6308
2025-06-27T14:59:00.000000+0000,ETHUSDT,2422.58,2423.6,2422.44,2423.25,88.7651
2025-06-27T15:00:00.000000+0000,ETHUSDT,2423.24,2423.44,2422.03,2422.88,178.995
2025-06-27T15:01:00.000000+0000,ETHUSDT,2422.97,2422.97,2421.12,2422.03,99.0741
2025-06-27T15:02:00.000000+0000,ETHUSDT,2422.03,2422.95,2420.93,2421.85,213.1473
2025-06-27T15:03:00.000000+0000,ETHUSDT,2421.85,2422.44,2421.22,2421.22,56.6982
2025-06-27T15:04:00.000000+0000,ETHUSDT,2421.23,2422.13,2421.05,2421.54,76.8055
2025-06-27T15:05:00.000000+0000,ETHUSDT,2421.55,2425.63,2421.55,2424.86,134.0858
2025-06-27T15:06:00.000000+0000,ETHUSDT,2424.85,2426.49,2424.26,2424.26,85.5211
